label,repo_id,full_name,description,language,topics,stars,forks,open_issues,contributor_count,size_kb,is_fork,is_archived,last_commit_days_ago,repo_age_days,has_readme,readme_size_bytes,has_docker,has_requirements,has_tests_folder,has_ci_cd,root_file_count,issues_per_fork,log_stars
lead_architect,2325298,torvalds/linux,Linux kernel source tree,C,,234626,62573,3,0,6303435,False,False,1,5379,True,6043,False,False,False,False,41,0.0,12.3658
lead_architect,41881900,microsoft/vscode,Visual Studio Code,TypeScript,"editor,electron,microsoft,typescript,visual-studio-code",185410,40177,18102,323,1267776,False,False,0,3919,True,6826,False,True,True,True,40,0.4506,12.1303
lead_architect,20580498,kubernetes/kubernetes,Production-Grade Container Scheduling and Management,Go,"cncf,containers,go,kubernetes",122489,43189,2721,345,1475049,False,False,0,4373,True,4387,False,True,True,True,35,0.063,11.7158
lead_architect,45717250,tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,C++,"deep-learning,deep-neural-networks,distributed,machine-learning,ml,neural-network,python,tensorflow",195286,75322,4111,412,1327340,False,False,0,3854,True,11914,False,False,False,True,35,0.0546,12.1822
lead_architect,65600975,pytorch/pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,Python,"autograd,deep-learning,gpu,machine-learning,neural-network,numpy,python,tensor",100208,27867,18334,321,1367304,False,False,0,3574,True,29372,True,True,True,True,74,0.6579,11.515
lead_architect,724712,rust-lang/rust,Empowering everyone to build reliable and efficient software.,Rust,"compiler,language,rust",113132,15019,12494,444,904902,False,False,0,5824,True,3304,False,True,True,True,37,0.8319,11.6363
lead_architect,23096959,golang/go,The Go programming language,Go,"go,golang,language,programming-language",134070,19071,10118,379,440984,False,False,0,4299,True,1454,False,False,True,True,16,0.5305,11.8061
lead_architect,2211243,apache/kafka,Apache Kafka - A distributed event streaming platform,Java,"java,kafka,scala,streaming",32656,15214,380,347,292012,False,False,0,5399,True,14674,False,False,True,True,49,0.025,10.3938
lead_architect,507775,elastic/elasticsearch,"Free and Open Source, Distributed, RESTful Search Engine",Java,"elasticsearch,java,search-engine",76748,25939,5775,352,1650445,False,False,0,5952,True,10283,False,False,True,True,51,0.2226,11.2483
lead_architect,3638964,ansible/ansible,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on rem",Python,"ansible,python",68701,24154,806,373,264792,False,False,0,5195,True,6060,False,True,True,True,22,0.0334,11.1375
lead_architect,17728164,hashicorp/terraform,"Terraform enables you to safely and predictably create, change, and improve infrastructure. It is a source-available tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.",Go,"cloud,cloud-management,graph,infrastructure-as-code,terraform",48456,10347,1900,352,354801,False,False,0,4458,True,3935,True,True,False,True,41,0.1836,10.7884
lead_architect,15111821,grafana/grafana,"The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more.",TypeScript,"alerting,analytics,business-intelligence,dashboard,data-visualization,elasticsearch,go,grafana,hacktoberfest,influxdb,metrics,monitoring,mysql,postgres,prometheus",74000,13953,3621,370,1764598,False,False,0,4550,True,3253,True,True,False,True,84,0.2595,11.2118
lead_architect,17165658,apache/spark,Apache Spark - A unified analytics engine for large-scale data processing,Scala,"big-data,java,jdbc,python,r,scala,spark,sql",43354,29202,421,331,561600,False,False,0,4474,True,18898,False,True,False,True,50,0.0144,10.6772
lead_architect,75821432,llvm/llvm-project,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.,LLVM,,38535,17287,36463,364,4027545,False,False,0,3458,True,2243,False,True,False,True,41,2.1093,10.5593
lead_architect,5108051,opencv/opencv,Open Source Computer Vision Library,C++,"c-plus-plus,computer-vision,deep-learning,image-processing,opencv",87665,56582,2729,277,559128,False,False,0,5060,True,1702,False,False,False,True,20,0.0482,11.3813
