label,repo_id,full_name,description,language,topics,stars,forks,open_issues,contributor_count,size_kb,is_fork,is_archived,last_commit_days_ago,repo_age_days,has_readme,readme_size_bytes,has_docker,has_requirements,has_tests_folder,has_ci_cd,root_file_count
low_value,1296269,octocat/Hello-World,My first repository on GitHub!,,,3583,6212,5930,3,1,False,False,645,5600,True,13,False,False,False,False,1
low_value,1300192,octocat/Spoon-Knife,This repo is for demonstration purposes only.,HTML,,13813,157326,20597,1,2,False,False,644,5599,True,780,False,False,False,False,3
low_value,1944053,github/testrepo,DON'T DELETE THIS. USED FOR MONITORING AND WHATNOT.,C,,31,73,31,2,18,False,True,1091,5452,False,0,False,False,True,False,1
low_value,330651,mojombo/bert,BERT (Binary ERlang Term) serialization library for Ruby.,Ruby,,208,58,11,7,186,False,False,939,6075,True,1765,False,False,True,False,12
low_value,28,mojombo/god,Ruby process monitor,Ruby,,2215,511,133,53,2639,False,False,789,6709,True,721,False,False,True,True,18
low_value,144,mojombo/chronic,Chronic is a pure Ruby natural language date parser.,Ruby,,3255,452,156,45,689,False,False,972,6693,True,4394,False,False,True,True,10
low_value,18221276,octocat/git-consortium,This repo is for demonstration purposes only.,,,574,165,47,1,190,False,False,684,4443,True,306,False,False,False,False,3
low_value,667163,github/github-services,Legacy GitHub Services Integration,Ruby,,1892,1258,0,354,99492,False,True,2673,5857,True,1070,False,False,True,True,15
low_value,355893,github/markup,Determines which markup library to use to render a content file (e.g. README) on GitHub,Ruby,readme,6027,3369,26,91,898,False,False,0,6052,True,3022,False,False,True,True,16
low_value,611562,holman/dotfiles,@holman does dotfiles,Shell,"dotfiles,shell,zsh",7726,3261,35,74,593,False,False,0,5886,True,3774,False,False,False,False,19
low_value,2329766,mathiasbynens/dotfiles,":wrench: .files, including ~/.macos — sensible hacker defaults for macOS",Shell,"bash,dotfiles,macos",31348,8515,187,118,850,False,False,660,5378,True,5139,False,False,False,False,29
low_value,3250271,paulirish/dotfiles,"paul's fish, bash, git, etc config files. good stuff. ",Shell,"dotfiles,fish,homebrew,yay",4342,1273,3,45,1770,False,False,56,5238,True,4306,False,True,False,True,40
low_value,27172,ryanb/dotfiles,"config files for zsh, bash, completions, gem, git, irb, rails",Vim Script,,2381,776,0,6,481,False,False,14,6550,True,4055,False,False,False,False,19
low_value,11202663,anishathalye/dotfiles,~anish • powered by https://github.com/anishathalye/dotbot 💾,Shell,,754,270,0,1,561,False,False,33,4709,True,1366,False,False,False,True,35
low_value,3024213,cowboy/dotfiles,My Ubuntu / OS X dotfiles.,Shell,,1601,473,17,6,11201,False,False,1713,5271,True,9411,False,False,True,False,14
low_value,3345666,necolas/dotfiles,"OS X dotfiles: bash, git, vim, etc.",Shell,,792,140,7,2,247,False,False,131,5227,True,6191,False,False,False,False,8
low_value,2862212,alrra/dotfiles,💻 macOS dotfiles,Shell,"bash,dotfiles,git,macos,shell,snippets,tmux,ubuntu,vim",1529,284,0,12,2307,False,False,30,5295,True,5248,False,False,False,True,8
low_value,12632061,webpro/dotfiles,Dotfiles for macOS,Shell,"bash,dotfiles,git,gnu,hammerspoon,homebrew,homebrew-cask,mackup,macos,makefile,shell,stow",1228,237,1,7,697,False,False,33,4647,True,3422,False,False,True,True,13
low_value,529205,gf3/dotfiles,Configurations for the tools I use every day,Emacs Lisp,"dotfiles,emacs,eza,fish,ghostty,linux,macos,ripgrep,shell,yadm,zoxide",1116,113,2,1,9360,False,False,128,5939,True,2361,False,False,False,False,5
low_value,24631181,driesvints/dotfiles,Get started with your own dotfiles.,Shell,"backup,brew,dotfiles,homebrew,macos,oh-my-zsh,shell,zsh",2708,704,0,14,5274,False,False,8,4257,True,6557,False,False,False,True,18
